company_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,car_name
Maruti,545000,2017,1197,Third Party,Manual,40000,First Owner,Petrol,83.1bhp,5,21.4,Hatchback,Agra,Baleno 1.2 Alpha
Tata,1000000,2018,2179,Third Party,Automatic,70000,First Owner,Diesel,153.86bhp,7,17.6,MUV,Agra,Hexa XTA
Maruti,450000,2015,1197,Third Party,Manual,70000,Second Owner,Petrol,83.14bhp,5,20.85,Sedan,Agra,Swift Dzire VXI
Hyundai,160000,2009,1086,Third Party,Manual,80000,First Owner,Petrol,68.05bhp,5,19.81,Hatchback,Agra,i10 Magna 1.1
Hyundai,470000,2015,1197,Third Party,Manual,70000,First Owner,Petrol,81.86bhp,5,17.19,Hatchback,Agra,i20 Active 1.2
Tata,360000,2017,1047,Third Party,Manual,120000,First Owner,Diesel,69bhp,5,27.28,Hatchback,Agra,Tiago 1.05 Revotorq
Hyundai,200000,2010,1086,Third Party,Manual,60000,Second Owner,Petrol,68.05bhp,5,19.81,Hatchback,Agra,i10 Magna 1.1
Maruti,370000,2016,1196,Third Party,Manual,20000,First Owner,Petrol,73bhp,7,15.37,Minivans,Agra,Eeco 7 Seater
Hyundai,120000,2009,1086,Third Party,Manual,30000,First Owner,Petrol,62bhp,5,15.37,Hatchback,Agra,Santro Xing GL
Honda,330000,2014,1198,Third Party,Manual,70000,First Owner,Petrol,86.7bhp,5,18,Sedan,Agra,Amaze E i-Vtech
Hyundai,475000,2018,1197,Third Party,Manual,60000,Second Owner,Petrol,81.86bhp,5,20.14,Sedan,Agra,Xcent 1.2 VTVT
Maruti,686000,2020,1462,Third Party,Manual,50000,Third Owner,Petrol,103.25bhp,5,21.56,Sedan,Agra,Ciaz Sigma BSIV
Hyundai,1250000,2021,1493,Third Party,Manual,60000,First Owner,Diesel,98.6bhp,5,23.7,SUV,Agra,Venue SX Opt
Hyundai,1100000,2021,1396,Third Party,Manual,60000,First Owner,Diesel,89bhp,5,23.7,SUV,Agra,Venue SX Dual
Maruti,395000,2019,998,Third Party,Automatic,20000,First Owner,Petrol,67.1bhp,5,23.95,Hatchback,Agra,Alto K10 VXI
Maruti,350000,2016,998,Third Party,Manual,40000,First Owner,CNG,58.16bhp,5,26.6,Hatchback,Agra,Wagon R LXI
Toyota,289000,2011,1496,Third Party,Manual,50000,Second Owner,Petrol,88.7bhp,5,17.6,Sedan,Agra,Etios VX
Toyota,282000,2011,1364,Third Party,Manual,150000,First Owner,Diesel,87.2bhp,5,21.43,Sedan,Agra,Corolla Altis Diesel
Kia,1000000,2021,998,Third Party,Manual,10000,First Owner,Petrol,118.36bhp,5,18.2,SUV,Agra,Sonet HTX Plus
Maruti,785000,2020,1462,Third Party,Manual,30000,Second Owner,Petrol,103.25bhp,5,20.65,Sedan,Agra,Ciaz Alpha BSVI
Ford,300000,2014,1498,Third Party,Manual,150000,Third Owner,Diesel,89.84bhp,5,22.7,SUV,Agra,Ecosport 1.5 DV5
Mitsubishi,397000,2011,2360,Third Party,Automatic,80000,Second Owner,Petrol,170PS,5,11.3,SUV,Agra,Outlander 2.4
Maruti,375000,2015,1248,Third Party,Manual,20000,First Owner,Diesel,74bhp,5,26.59,Sedan,Agra,Swift Dzire VDI
Maruti,100000,2011,998,Third Party,Manual,120000,Third Owner,Petrol,67.1bhp,5,20.92,Hatchback,Agra,Alto K10 LXI
Maruti,675000,2021,1197,Third Party,Manual,40000,First Owner,Petrol,81.80bhp,5,21.01,Hatchback,Agra,Baleno Zeta
Hyundai,465000,2018,1197,Third Party,Manual,60000,Second Owner,Petrol,81.86bhp,5,20.14,Sedan,Agra,Xcent 1.2 VTVT
Maruti,480000,2015,1197,Third Party,Manual,80000,Second Owner,Petrol,83.14bhp,5,20.85,Sedan,Agra,Swift Dzire VXI
Maruti,225000,2014,796,Third Party,Manual,100000,First Owner,Petrol,47.3bhp,5,22.74,Hatchback,Agra,Alto 800 LXI
Maruti,320000,2016,998,Third Party,Manual,70000,Second Owner,Petrol,67.04bhp,5,20.51,Hatchback,Agra,Wagon R VXI
Hyundai,415000,2015,1197,Third Party,Manual,30000,First Owner,Petrol,82bhp,5,18.9,Hatchback,Agra,Grand i10 Sportz
Maruti,240000,2012,1248,Third Party,Manual,120000,Third Owner,Diesel,74bhp,5,22.9,Hatchback,Agra,Swift VDI
Mahindra,350000,2013,2179,Third Party,Manual,100000,Third Owner,Diesel,140bhp,7,15.1,SUV,Agra,XUV500 W6 2WD
Tata,296000,2013,2179,Third Party,Manual,90000,Second Owner,Diesel,138.1bhp,7,11.57,SUV,Agra,New Safari DICOR
Tata,316000,2018,1199,Third Party,Manual,100000,First Owner,Petrol,84bhp,5,23.84,Hatchback,Agra,Tiago 1.2 Revotron
Maruti,750000,2017,1248,Third Party,Manual,100000,Second Owner,Diesel,88.5bhp,5,24.3,SUV,Agra,Vitara Brezza ZDi
Maruti,900000,2019,1248,Third Party,Manual,120000,First Owner,Diesel,88.50bhp,7,25.47,MUV,Agra,Ertiga VDI
Maruti,560000,2022,998,Third Party,Manual,10000,First Owner,Petrol,65.71bhp,5,25.24,Hatchback,Agra,Celerio VXI BSVI
Maruti,800000,2017,1248,Third Party,Manual,150000,First Owner,Diesel,88.5bhp,5,24.3,SUV,Agra,Vitara Brezza ZDi
Hyundai,900000,2017,1396,Third Party,Manual,120000,Second Owner,Diesel,88.7bhp,5,22.1,SUV,Agra,Creta 1.4 E
Maruti,280000,2019,796,Third Party,Manual,80000,First Owner,Petrol,47.33bhp,5,22.05,Hatchback,Agra,Alto 800 LXI
Toyota,550000,2013,2494,Third Party,Manual,90000,Second Owner,Diesel,100.6bhp,7,11.4,Toyota,Agra,Innova 2.5 E
Toyota,250000,2009,2494,Third Party,Manual,150000,First Owner,Diesel,102,8,12.8,MUV,Agra,Innova 2.5 G
Tata,150000,2011,1248,Third Party,Manual,150000,First Owner,Diesel,90 PS,5,18.8,Sedan,Agra,Manza Aqua Quadrajet
Hyundai,480000,2017,1186,Third Party,Manual,20000,First Owner,Diesel,73.97bhp,5,24,Hatchback,Agra,Grand i10 1.2
Maruti,300000,2017,1196,Third Party,Manual,150000,First Owner,CNG,61.7bhp,5,21.94,Minivans,Agra,Eeco CNG 5
Audi,1200000,2014,1968,Third Party,Automatic,30000,Second Owner,Diesel,147.51bhp,5,16.55,Sedan,Agra,A4 2.0 TDI
Hyundai,800000,2022,1197,Third Party,Manual,10000,First Owner,Petrol,81.80bhp,5,21,Hatchback,Agra,i20 Sportz BSVI
Volkswagen,200000,2012,1199,Third Party,Manual,80000,Fifth Owner,Diesel,73.9bhp,5,22.07,Hatchback,Agra,Polo Diesel Trendline
Maruti,740000,2019,1248,Third Party,Manual,80000,Second Owner,Diesel,88.5bhp,5,24.3,SUV,Agra,Vitara Brezza VDi
Hyundai,150000,2009,1086,Third Party,Manual,30000,First Owner,Petrol,62.1bhp,5,17.92,Hatchback,Agra,Santro Xing GLS
Maruti,520000,2016,1248,Third Party,Manual,30000,First Owner,Diesel,74bhp,5,26.59,Sedan,Agra,Swift Dzire VDI
Hyundai,170000,2010,1197,Third Party,Manual,80000,Third Owner,Petrol,78.9bhp,5,20.36,Hatchback,Agra,i10 Sportz 1.2
Hyundai,710000,2021,1197,Third Party,Manual,30000,First Owner,Petrol,81.86bhp,5,17.52,SUV,Agra,Venue S BSIV
Skoda,950000,2021,999,Third Party,Manual,20000,First Owner,Petrol,108.62bhp,5,18.97,Sedan,Agra,Rapid 1.0 TSI
Ford,240000,2013,1399,Third Party,Manual,70000,First Owner,Diesel,68.05bhp,5,20,Hatchback,Agra,Figo Diesel ZXI
Skoda,930000,2021,999,Third Party,Manual,20000,First Owner,Petrol,108.62bhp,5,18.97,Sedan,Agra,Rapid 1.0 TSI
MG,1922000,2022,1956,Third Party,Manual,20000,First Owner,Diesel,167.67bhp,7,16.56,SUV,Agra,Hector Plus Select
Hyundai,150000,2013,814,Third Party,Manual,50000,Second Owner,Petrol,55.2bhp,5,21.1,Hatchback,Agra,EON D Lite
Hyundai,380000,2015,1197,Third Party,Manual,30000,First Owner,Petrol,82bhp,5,18.9,Hatchback,Agra,Grand i10 Magna
Tata,590000,2021,1199,Third Party,Manual,30000,First Owner,Petrol,86.63bhp,5,20.09,SUV,Agra,Punch Adventure BSVI
Volkswagen,400000,2016,1498,Third Party,Manual,150000,First Owner,Diesel,88bhp,5,20.14,Hatchback,Agra,Polo 1.5 TDI
Toyota,300000,2013,1364,Third Party,Manual,40000,First Owner,Diesel,67.06bhp,5,23.59,Hatchback,Agra,Etios Liva GD
Renault,500000,2017,1461,Third Party,Manual,120000,First Owner,Diesel,83.8bhp,5,19.87,SUV,Agra,Duster 85PS Diesel
Maruti,210000,2015,796,Third Party,Manual,20000,First Owner,Petrol,47.3bhp,5,22.74,Hatchback,Agra,Alto 800 LXI
Maruti,100000,2009,998,Third Party,Manual,90000,Second Owner,Petrol,67.1bhp,5,18.9,Hatchback,Agra,Wagon R LX
Mahindra,900000,2015,2179,Third Party,Manual,50000,First Owner,Diesel,140bhp,7,16,SUV,Agra,XUV500 W10 2WD
Kia,1349000,2020,1493,Third Party,Manual,70000,First Owner,Diesel,113.43bhp,5,20.8,SUV,Agra,Seltos HTX Diesel
Maruti,650000,2019,1248,Third Party,Manual,50000,First Owner,Diesel,74.02bhp,5,28.4,Sedan,Agra,Swift Dzire VDI
Maruti,475000,2019,998,Third Party,Manual,20000,First Owner,Petrol,67.05bhp,5,21.79,Hatchback,Agra,Wagon R LXI
Nissan,320000,2014,1461,Third Party,Manual,90000,Second Owner,Diesel,83.8bhp,5,20.45,SUV,Agra,Terrano XE 85
Hyundai,370000,2015,1197,Third Party,Manual,60000,Second Owner,Petrol,82bhp,5,18.9,Hatchback,Agra,Grand i10 Sportz
Maruti,110000,2009,1061,Third Party,Manual,90000,Second Owner,Petrol,67bhp,5,18.9,Hatchback,Agra,Wagon R LXI
Chevrolet,595000,2009,995,Third Party,Manual,60000,Second Owner,Petrol,"63PS at 5,400 rpm",5,16,Hatchback,Agra,Spark 1.0 LT
Ford,550000,2020,1499,Third Party,Manual,60000,Second Owner,Diesel,98.96bhp,5,24.4,Hatchback,Agra,Figo Titanium Diesel
